Uttar Pradesh, Mahoba, 10, 2453,
Uttarakhand, Udham Singh Nagar, 1, 400,
Tamil Nadu, Kallakurichi, 15, 2626,
Uttar Pradesh, Lakhimpur Kheri, 4, 664,
Jammu and Kashmir, Kathua, 1, 50,
Uttarakhand, Pithoragarh, 1, 296,
Uttar Pradesh, Varanasi, 12, 3802,
Uttar Pradesh, Lalitpur, 55, 3563,
Uttar Pradesh, Sonbhadra, 2, 50,
Maharashtra, Aurangabad , 1, 15,
Uttar Pradesh, Kushinagar, 22, 4323,
Uttar Pradesh, Firozabad, 9, 5056,
Tamil Nadu, Thanjavur, 1, 41,
Uttar Pradesh, Unnao, 5, 974,
Uttar Pradesh, Mathura, 8, 947,
Uttar Pradesh, Azamgarh, 19, 2908,
Uttar Pradesh, Hardoi, 32, 9120,
Uttar Pradesh, Gorakhpur, 10, 1888,
Meghalaya, South Garo Hills, 6, 480,
Meghalaya, South West Khasi Hills, 1, 187,
Nagaland, Kiphire, 5, 280,
Puducherry, Karaikal, 13, 551,
Tamil Nadu, Tiruppur, 1, 127,
Punjab, Pathankot, 1, 438,
Tamil Nadu, Vellore, 3, 308,
Punjab, Tarn Taran, 1, 68,
Tamil Nadu, Dharmapuri, 1, 218,
Rajasthan, Dungarpur, 1, 37,
Uttar Pradesh, Chitrakoot, 10, 2796,
Uttar Pradesh, Shahjahanpur, 103, 34990,
Tamil Nadu, Pudukkottai, 4, 646,
Punjab, Amritsar, 6, 507,
Punjab, Ludhiana, 6, 7874,
Uttar Pradesh, Bhadohi, 4, 979,
West Bengal, South 24 Parganas, 1, 59,
Andhra Pradesh, Chittoor, 1, 448,
Bihar, Banka, 1, 22,
West Bengal, North 24 Parganas, 3, 233,
Uttar Pradesh, Sant Kabir Nagar, 6, 1405,
Arunachal Pradesh, East Siang, 1, 20,
Arunachal Pradesh, Tawang, 1, 25,
Andhra Pradesh, East Godavari, 1, 258,
Assam, South Salmara Mankachar, 1, 97,
Assam, Cachar, 2, 298,
Chhattisgarh, Bastar, 3, 748,
Andhra Pradesh, Prakasam, 1, 98,
Chhattisgarh, Baloda bazar, 13, 210,
Chhattisgarh, Bemetara, 2, 400,
Bihar, Gaya, 37, 46765,
Bihar, Nawada, 4, 870,
Chhattisgarh, Rajnandgaon, 12, 1620,
Chhattisgarh, Jashpur, 20, 3320,
Chhattisgarh, Bijapur, 25, 3380,
Jharkhand, Garhwa, 1, 40,
Himachal Pradesh, Bilaspur, 1, 258,
Chhattisgarh, Durg, 43, 12526,
Kerala, Kozhikode, 1, 1,
Chhattisgarh, Koriya, 15, 18000,
Karnataka, Bellary, 1, 20,
Jammu and Kashmir, Baramulla, 2, 345,
Jharkhand, West Singhbhum, 8, 320,
Karnataka, Shimoga, 2, 50,
Jharkhand, Latehar, 11, 2967,
Chhattisgarh, Dhamtari, 51, 2451,
Jharkhand, East Singhbhum, 1, 20,
Karnataka, Koppal, 3, 123,
Karnataka, Udupi, 1, 29,
Madhya Pradesh, Chhatarpur, 1, 20,
Kerala, Thiruvananthapuram, 1, 119,
Ladakh, Kargil, 34, 5629,
Kerala, Kollam, 1, 273,
Karnataka, Gadag, 13, 784,
Karnataka, BBMP, 148, 37558,
Karnataka, Yadgir, 7, 647,
Andhra Pradesh, Sri Potti Sriramulu Nellore, 2, 74,
Chhattisgarh, Raigarh, 24, 5276,
Karnataka, Belgaum, 55, 8628,
Karnataka, Chitradurga, 4, 299,
Kerala, Kottayam, 1, 5,
Karnataka, Dakshina Kannada, 1, 6,
Jharkhand, Palamu, 1, 63,
Karnataka, Tumkur, 12, 1421,
Chhattisgarh, Narayanpur, 1, 200,
